"99","Adamita y Kottigita","","Cristales radiales de color amarillo, transparente y brillo vitreo. Sobre cristales radiados de Kottigita color gris verdoso, translucido y brillo resinosos. En una matriz de limonitas.","1/106","7","","2025-01-29","Tienda","Verde","","","mineral","activo"
"100","Goethita","","Costra de psedumorfo  formado por goethita color amarillo pardo, opaco y brillo mate. ","1/106","7","","2025-01-29","Tienda","","","","mineral","activo"
"101","Goethita psedu selenita","","Costra de psedumorfo de selenita cubierto por goethita de color amarillo pardo, opaco y brillo mate.","1/106","7","","2025-01-29","Tienda","","","","mineral","activo"
"102","Cuarzo y ortoclasa","","Cristales prismáticos de cuarzo gris, transparente y brillo vitreo. Con agregado de cristales de ortoclasa color blanco, translucido y brillo nacarado. Presentan alteración por cloritización. ","1/106","8","","2025-01-29","Tienda","","","","mineral","activo"
"103","Cuarzo y ortoclasa","","Cristales prismáticos de cuarzo amarillento, translucido y brillo vitreo, con recubrimiento de microcristales color amarillo pardo. Estos están con una epitaxis de cristales de ortoclasa color crema, translucida y brillo nacarado. ","1/106","8","","2025-01-29","Tienda","","","","mineral","activo"
"104","Adularia","","Cristales prismáticos maclados incoloros, transparentes y brillo vitreo con reflejos, sobre una matriz altamente alterada por propilitizacion. ","1/106","8","","2025-01-29","Tienda","","","","mineral","activo"
"105","Ortoclasa","","Cristales tabulares  color blanco amarillento, translucido y brillo nacarado. Que son recubiertos por microcristales de cuarzo amarillento ","1/106","8","","2025-01-29","Tienda","","","","mineral","activo"
"106","Calcita y cuarzo","","Cristales tabulares de calcita blanca, translucida y brillo vitreo que es recubierta por óxidos de hierro y arcillas grises. Están sobre microcristales de cuarzo blanco","1/106","8","","2025-01-29","Tienda","Naranja","","","mineral","activo"
"107","Cuarzo","","Drusa de cristales prismáticos color amarillento, transparente y brillo vitreo. Con recubrimiento de microcristales. ","1/106","8","","2025-01-29","Tienda","","","","mineral","activo"
"108","Ortoclasa y cuarzo","","Cristales de cuarzo incoloros a amarillento, transparente y brillo vitreo. Con agregado de ortoclasa en forma de tablillas color crema, translucida y brillo nacarado. ","1/106","8","","2025-01-29","Tienda","","","","mineral","activo"
"109","Cuarzo y ortoclasa","","Cristales prismáticos de cuarzo incoloro, transparente y brillo vitreo. Con agregado de tablillas de ortosa color blanco, translucida y brillo nacarado. ","1/106","8","","2025-01-29","Tienda","","","","mineral","activo"
"110","Fluorita y galena","","Cristal prismático de forma octaedral incoloro, transparente y brillo vitreo. Con incrustaciones de granos de galena. ","1/106","9","","2025-01-29","Tienda","Morado","","","mineral","activo"
"111","Apatito","","Cristales prismáticos de color verde, transparente y brillo vitreo. Sobre una matriz de hematitas y cuarzo incoloro. ","1/106","9","","2025-01-29","Tienda","Rosa","","","mineral","activo"
"112","Calcita y rosasita","","Cristales prismáticos de forma romboedral color blanco, transparente y brillo vitreo. Sobre cristales botroidales reniformes de rosasita color verde azulado, translucido y brillo sedoso. En una matriz de limonitas. ","1/106","9","","2025-01-29","Tienda","","","","mineral","activo"
